Doctor ID,Name,Specialization,Experience,Location,Contact Information,Availability,Consultation Fee
D001,Dr. Veer Verma,"['Fibromyalgia', 'Childhood Asthma', 'Irritable Bowel Syndrome', 'Chronic Gastritis']",24,Bangalore,+91 8765432109,8 AM - 4 PM,INR 1320
D002,Dr. Rhea Patel,"['Anal Fistula', 'Anaemia']",20,Bangalore,+91 6543210987,10 AM - 6 PM,INR 1404
D003,Dr. Sanya Saxena,"['Chest Pain', 'Liver Cirrhosis', 'Odontalgia - Toothache', 'Cerebral Stroke']",16,Pune,+91 9876543210,11 AM - 7 PM,INR 1308
D004,Dr. Suman Joshi,"['Down Syndrome', 'Pneumonia', 'Cervical Spondylosis', 'Tourette Syndrome', 'Nephrotic Syndrome']",15,Chennai,+91 9876543210,9 AM - 5 PM,INR 350
D005,Dr. Tanay Roy,"['Acne', 'Dyshidrotic Eczema']",17,Hyderabad,+91 5432109876,9 AM - 5 PM,INR 1460
D006,Dr. Sameer Iyer,"['Sinusitis', 'Ischemic Heart Disease', 'Diabetes Mellitus']",19,Hyderabad,+91 7654321098,9:30 AM - 5:30 PM,INR 1396
D007,Dr. Lavanya Kaul,"['Juvenile Rheumatoid Arthritis (JRA)', 'Atrial Fibrillation', 'Dyspepsia', 'Osteoporosis', 'Herpes Zoster']",28,Chennai,+91 5432109876,10 AM - 6 PM,INR 1095
D008,Dr. Nidhi Mahajan,"['Dental Black Triangle', 'Sleep Apnea', 'Agoraphobia', 'Bell's Palsy', 'Dizziness']",10,Bangalore,+91 6543210987,8 AM - 4 PM,INR 1475
D009,Dr. Sanya Saxena,"['Dizziness', 'Role of Ayurveda in Treating HIV', 'Edema', 'Gonorrhea', 'Sialadenitis and Sialadenosis']",8,Hyderabad,+91 9876543210,10 AM - 6 PM,INR 1394
D010,Dr. Manish Das,"['Sacroiliitis', 'Scleroderma', 'Gonorrhea', 'Sleep Apnea', 'Fatty Liver']",30,Mumbai,+91 7654321098,9:30 AM - 5:30 PM,INR 585
D011,Dr. Sana Chaudhary,"['Mixed Receptive-Expressive Language Disorder', 'High Cholesterol Levels', 'Amenorrhea']",6,Mumbai,+91 6543210987,9:30 AM - 5:30 PM,INR 501
D012,Dr. Priyanka Yadav,"['Leukocytoclastic Vasculitis (LCV)', 'Gonorrhea', 'Varicose Veins']",14,Bangalore,+91 5432109876,11 AM - 7 PM,INR 832
D013,Dr. Gaurav Chopra,"['Endometriosis', 'Asthma', 'Cervical Dystonia', 'Livedoid Vasculopathy', 'Vestibular Hypofunction']",22,Hyderabad,+91 5432109876,10 AM - 6 PM,INR 1311
D014,Dr. Vishal Chauhan,"['Ascites', 'Bronchitis', 'Down Syndrome', 'Hair Loss']",9,Pune,+91 7654321098,11 AM - 7 PM,INR 600
D015,Dr. Rhea Patel,"['Heartburn', 'Primary Polycythemia Vera']",12,Delhi,+91 6543210987,9 AM - 5 PM,INR 735
D016,Dr. Nidhi Mahajan,"['Candidiasis', 'Role of Ayurveda in Treating HIV', 'Sialadenitis and Sialadenosis', 'Urticaria', 'Back Pain']",29,Delhi,+91 6543210987,8 AM - 4 PM,INR 1050
D017,Dr. Sana Chaudhary,"['Syphilis', 'Nausea', 'Dandruff']",27,Bangalore,+91 7654321098,10 AM - 6 PM,INR 1152
D018,Dr. Vinay Kulkarni,"['Typhoid', 'Irritable Bowel Syndrome', 'Ovarian Cysts']",28,Bangalore,+91 8765432109,9:30 AM - 5:30 PM,INR 772
D019,Dr. Sameer Iyer,"['Dementia', 'Urticaria']",10,Chennai,+91 6543210987,10 AM - 6 PM,INR 1105
